accession,species,common_name,order,sequence_length,header,audit_flag
NP_001394193,Homo sapiens,Human,Primates,393,NP_001394193|Homo_sapiens|Human|Primates,PASS
XP_001172077,Pan troglodytes,Chimpanzee,Primates,393,XP_001172077|Pan_troglodytes|Chimpanzee|Primates,PASS
XP_063556659,Gorilla gorilla,Gorilla,Primates,408,XP_063556659|Gorilla_gorilla|Gorilla|Primates,PASS
XP_002827020,Pongo abelii,Orangutan,Primates,393,XP_002827020|Pongo_abelii|Orangutan|Primates,PASS
NP_001040616,Macaca mulatta,Rhesus_macaque,Primates,393,NP_001040616|Macaca_mulatta|Rhesus_macaque|Primates,PASS
XP_003912321,Papio anubis,Baboon,Primates,393,XP_003912321|Papio_anubis|Baboon|Primates,PASS
XP_002747994,Callithrix jacchus,Marmoset,Primates,395,XP_002747994|Callithrix_jacchus|Marmoset|Primates,PASS
XP_012631512,Microcebus murinus,Mouse_lemur,Primates,385,XP_012631512|Microcebus_murinus|Mouse_lemur|Primates,PASS
NP_001120705,Mus musculus,Mouse,Rodentia,381,NP_001120705|Mus_musculus|Mouse|Rodentia,PASS
NP_001416925,Rattus norvegicus,Rat,Rodentia,382,NP_001416925|Rattus_norvegicus|Rat|Rodentia,PASS
NP_001230905,Cricetulus griseus,Chinese_hamster,Rodentia,393,NP_001230905|Cricetulus_griseus|Chinese_hamster|Rodentia,PASS
NP_001166211,Cavia porcellus,Guinea_pig,Rodentia,391,NP_001166211|Cavia_porcellus|Guinea_pig|Rodentia,PASS
XP_040125303,Ictidomys tridecemlineatus,Thirteen-lined_ground_squirrel,Rodentia,391,XP_040125303|Ictidomys_tridecemlineatus|Thirteen-lined_ground_squirrel|Rodentia,PASS
NP_001297199,Heterocephalus glaber,Naked_mole-rat,Rodentia,391,NP_001297199|Heterocephalus_glaber|Naked_mole-rat|Rodentia,PASS
XP_005349834,Microtus ochrogaster,Prairie_vole,Rodentia,390,XP_005349834|Microtus_ochrogaster|Prairie_vole|Rodentia,PASS
XP_012868945,Dipodomys ordii,Kangaroo_rat,Rodentia,398,XP_012868945|Dipodomys_ordii|Kangaroo_rat|Rodentia,PASS
NP_001376147,Canis lupus familiaris,Dog,Carnivora,381,NP_001376147|Canis_lupus_familiaris|Dog|Carnivora,PASS
NP_001009294,Felis catus,Cat,Carnivora,386,NP_001009294|Felis_catus|Cat|Carnivora,PASS
XP_057167334,Ursus arctos,Brown_bear,Carnivora,378,XP_057167334|Ursus_arctos|Brown_bear|Carnivora,PASS
XP_004760313,Mustela putorius furo,Ferret,Carnivora,375,XP_004760313|Mustela_putorius_furo|Ferret|Carnivora,PASS
XP_019660679,Ailuropoda melanoleuca,Giant_panda,Carnivora,381,XP_019660679|Ailuropoda_melanoleuca|Giant_panda|Carnivora,PASS
XP_042822088,Panthera tigris,Tiger,Carnivora,386,XP_042822088|Panthera_tigris|Tiger|Carnivora,PASS
XP_025861192,Vulpes vulpes,Red_fox,Carnivora,381,XP_025861192|Vulpes_vulpes|Red_fox|Carnivora,PASS
XP_027481717,Zalophus californianus,California_sea_lion,Carnivora,381,XP_027481717|Zalophus_californianus|California_sea_lion|Carnivora,PASS
NP_776626,Bos taurus,Cattle,Artiodactyla,386,NP_776626|Bos_taurus|Cattle|Artiodactyla,PASS
NP_998989,Sus scrofa,Pig,Artiodactyla,386,NP_998989|Sus_scrofa|Pig|Artiodactyla,PASS
NP_001009403,Ovis aries,Sheep,Artiodactyla,382,NP_001009403|Ovis_aries|Sheep|Artiodactyla,PASS
XP_017920082,Capra hircus,Goat,Artiodactyla,382,XP_017920082|Capra_hircus|Goat|Artiodactyla,PASS
XP_010994816,Camelus dromedarius,Dromedary_camel,Artiodactyla,381,XP_010994816|Camelus_dromedarius|Dromedary_camel|Artiodactyla,PASS
XP_006218839,Vicugna pacos,Alpaca,Artiodactyla,381,XP_006218839|Vicugna_pacos|Alpaca|Artiodactyla,PASS
XP_057572051,Hippopotamus amphibius,Hippopotamus,Artiodactyla,386,XP_057572051|Hippopotamus_amphibius|Hippopotamus|Artiodactyla,PASS
NP_001189334,Equus caballus,Horse,Perissodactyla,381,NP_001189334|Equus_caballus|Horse|Perissodactyla,PASS
XP_014717043,Equus asinus,Donkey,Perissodactyla,381,XP_014717043|Equus_asinus|Donkey|Perissodactyla,PASS
XP_014645038,Ceratotherium simum,White_rhinoceros,Perissodactyla,397,XP_014645038|Ceratotherium_simum|White_rhinoceros|Perissodactyla,PASS
XP_003416950,Loxodonta africana,African_elephant,Proboscidea,390,XP_003416950|Loxodonta_africana|African_elephant|Proboscidea,PASS
XP_049714739,Elephas maximus,Asian_elephant,Proboscidea,390,XP_049714739|Elephas_maximus|Asian_elephant|Proboscidea,PASS
XP_036692565,Balaenoptera musculus,Blue_whale,Cetacea,387,XP_036692565|Balaenoptera_musculus|Blue_whale|Cetacea,PASS
XP_073653870,Tursiops truncatus,Bottlenose_dolphin,Cetacea,393,XP_073653870|Tursiops_truncatus|Bottlenose_dolphin|Cetacea,PASS
XP_033278862,Orcinus orca,Orca,Cetacea,400,XP_033278862|Orcinus_orca|Orca|Cetacea,PASS
XP_028355209,Physeter catodon,Sperm_whale,Cetacea,387,XP_028355209|Physeter_catodon|Sperm_whale|Cetacea,PASS
XP_022451328,Delphinapterus leucas,Beluga_whale,Cetacea,387,XP_022451328|Delphinapterus_leucas|Beluga_whale|Cetacea,PASS
XP_006102640,Myotis lucifugus,Little_brown_bat,Chiroptera,390,XP_006102640|Myotis_lucifugus|Little_brown_bat|Chiroptera,PASS
XP_011357167,Pteropus vampyrus,Large_flying_fox,Chiroptera,378,XP_011357167|Pteropus_vampyrus|Large_flying_fox|Chiroptera,PASS
XP_036078506,Rousettus aegyptiacus,Egyptian_fruit_bat,Chiroptera,383,XP_036078506|Rousettus_aegyptiacus|Egyptian_fruit_bat|Chiroptera,PASS
XP_008151723,Eptesicus fuscus,Big_brown_bat,Chiroptera,388,XP_008151723|Eptesicus_fuscus|Big_brown_bat|Chiroptera,PASS
XP_032947086,Rhinolophus ferrumequinum,Greater_horseshoe_bat,Chiroptera,380,XP_032947086|Rhinolophus_ferrumequinum|Greater_horseshoe_bat|Chiroptera,PASS
XP_056673571,Monodelphis domestica,Opossum,Didelphimorphia,361,XP_056673571|Monodelphis_domestica|Opossum|Didelphimorphia,PASS
XP_031821305,Sarcophilus harrisii,Tasmanian_devil,Dasyuromorphia,371,XP_031821305|Sarcophilus_harrisii|Tasmanian_devil|Dasyuromorphia,PASS
XP_072497274,Macropus eugenii,Tammar_wallaby,Diprotodontia,371,XP_072497274|Macropus_eugenii|Tammar_wallaby|Diprotodontia,PASS
XP_020822127,Phascolarctos cinereus,Koala,Diprotodontia,371,XP_020822127|Phascolarctos_cinereus|Koala|Diprotodontia,PASS
XP_060060302,Erinaceus europaeus,European_hedgehog,Eulipotyphla,374,XP_060060302|Erinaceus_europaeus|European_hedgehog|Eulipotyphla,PASS
XP_054988705,Sorex araneus,Common_shrew,Eulipotyphla,383,XP_054988705|Sorex_araneus|Common_shrew|Eulipotyphla,PASS
NP_001075873,Oryctolagus cuniculus,Rabbit,Lagomorpha,391,NP_001075873|Oryctolagus_cuniculus|Rabbit|Lagomorpha,PASS
XP_004594840,Ochotona princeps,Pika,Lagomorpha,385,XP_004594840|Ochotona_princeps|Pika|Lagomorpha,PASS
XP_023447566,Dasypus novemcinctus,Nine-banded_armadillo,Cingulata,384,XP_023447566|Dasypus_novemcinctus|Nine-banded_armadillo|Cingulata,PASS
XP_023586869,Trichechus manatus,Manatee,Sirenia,392,XP_023586869|Trichechus_manatus|Manatee|Sirenia,PASS
